CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAMJM,Wilcox Peak,und,Undetermined,,Peak,Terrain Feature,MTN,7b5917f8c5f711d892e2080020a0f4c9,52.2450000,-117.2413889,38-23-W5,Alberta,50000,1956-08-02,AB-Ministry of Culture and Status of Women
IAMKN,Wild Hay,und,Undetermined,,Railway Point,Populated Place,UNP,0c880b13849c20c3e0f6b518935d1b65,53.5652778,-117.8416667,12-53-27-W5,Alberta,50000,1969-05-08,AB-Ministry of Culture and Status of Women
IAHJJ,Wild Horse,und,Undetermined,,Locality,Populated Place,UNP,7b4edec7c5f711d892e2080020a0f4c9,49.0000000,-110.2161111,4-1-2-W4,Alberta,1000000,1971-07-27,AB-Ministry of Culture and Status of Women
IAENS,Wild Turnip Hill,und,Undetermined,,Hill,Terrain Feature,MTN,0c845208849c20c3ebd7c2046bed840f,49.6411111,-113.1125000,8-24-W4,Alberta,50000,1954-07-08,AB-Ministry of Culture and Status of Women
IAMKT,Wildcat,und,Undetermined,,Locality,Populated Place,UNP,0c880c9e849c20c38831c46014be0ad8,51.2166667,-114.6500000,16-26-5-W5,Alberta,50000,1961-11-15,AB-Ministry of Culture and Status of Women
IAMKS,Wildcat Creek,und,Undetermined,,Creek,Water Feature,RIV,0c880bd9849c20c3fab62a6ec1bebe49,49.7186111,-114.1716667,11-9-2-W5,Alberta,250000,1942-03-09,AB-Ministry of Culture and Status of Women
IAMKR,Wildcat Creek,und,Undetermined,,Creek,Water Feature,RIV,0c880c1b849c20c3385a76a3a0153914,53.7441666,-117.9850000,55-27-W5,Alberta,250000,1946-06-04,AB-Ministry of Culture and Status of Women
IAMKQ,Wildcat Hills,und,Undetermined,,Hills,Terrain Feature,MTN,0c880b54849c20c3e3ff7f5367d530af,51.2972222,-114.6525000,"26,27-5-W5",Alberta,250000,1940-04-23,AB-Ministry of Culture and Status of Women
IAMKO,Wildflower Creek,und,Undetermined,,Creek,Water Feature,RIV,0c880ad0849c20c37d2f4e7907ed97d3,51.4519444,-116.0152778,29-15-W5,Alberta,50000,1959-05-07,AB-Ministry of Culture and Status of Women
IAMKP,Wildflower Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c880b94849c20c321d81c9f2faee65a,51.4283333,-115.9908333,28-15-W5,Alberta,50000,1959-05-07,AB-Ministry of Culture and Status of Women
IAMDY,Wildhay River,und,Undetermined,,River,Water Feature,RIV,a02fb191d05411d892e2080020a0f4c9,53.9866667,-117.2769444,58-23-W5,Alberta,1000000,1951-01-17,AB-Ministry of Culture and Status of Women
IAMNW,Wildhorse Creek,und,Undetermined,,Creek,Water Feature,RIV,0c88218e849c20c3cbe73042fb244780,51.6533333,-115.3441667,31-10-W5,Alberta,250000,1928-12-31,AB-Ministry of Culture and Status of Women
IANFQ,Wildhorse Lakes,und,Undetermined,,Lakes,Water Feature,LAKE,0c887f78849c20c379a872c6a9011406,53.2702778,-117.7955556,49-26-W5,Alberta,50000,1956-08-02,AB-Ministry of Culture and Status of Women
IABOK,Wildman Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82e9ac849c20c366c65994d0a41d6c,51.1766666,-114.7972222,32-25-6-W5,Alberta,50000,1956-11-02,AB-Ministry of Culture and Status of Women
IADGJ,Wildmere,und,Undetermined,,Locality,Populated Place,UNP,0c83b3e7849c20c3c56d5d41f4c36b1c,53.1400000,-110.8127780,12-48-6-W4,Alberta,250000,1940-05-02,AB-Ministry of Culture and Status of Women
IAFHL,Wildwood,und,Undetermined,,Locality,Populated Place,UNP,28ba9aa2c6ce11d892e2080020a0f4c9,53.6094445,-115.2375000,27-53-9-W5,Alberta,250000,1990-12-31,AB-Ministry of Culture and Status of Women
IAHQE,Wileman Creek,und,Undetermined,,Creek,Water Feature,RIV,0c85bf34849c20c328d452b728f4d234,50.4663889,-114.5763889,17-5-W5,Alberta,250000,1943-11-29,AB-Ministry of Culture and Status of Women
IAAED,Wilkins Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c829642849c20c37be7c80cce3c051d,52.6025000,-111.0866667,42-8-W4,Alberta,250000,1951-04-05,AB-Ministry of Culture and Status of Women
IAIRK,Wilkinson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c864bcb849c20c34b9c5256f35f5b57,50.2836111,-114.5922222,15-5-W5,Alberta,250000,1943-11-29,AB-Ministry of Culture and Status of Women
IAMAI,Willerval Mountain,und,Undetermined,,Mountain,Terrain Feature,MTN,0c87de18849c20c3d987c44e77c452f4,52.0186111,-117.0316667,,Alberta,250000,1928-12-31,AB-Ministry of Culture and Status of Women
IAJRE,Willesden Green,und,Undetermined,,Locality,Populated Place,UNP,0c86b26f849c20c324f3dbf2634051e5,52.6886111,-114.5755556,1-43-5-W5,Alberta,250000,1951-08-02,AB-Ministry of Culture and Status of Women
IAERM,William A. Switzer Provincial Park,und,Undetermined,,Provincial Park,Administrative Area,PARK,c5022f6fd05211d892e2080020a0f4c9,53.5000000,-117.8000000,"51,52-26-W5",Alberta,1000000,1974-09-04,AB-Ministry of Culture and Status of Women
IAUCW,William McKenzie 151K,und,Undetermined,,Indian Reserve,Administrative Area,IR,04f2f0f2bbe311d892e2080020a0f4c9,56.0050000,-116.8672222,81-19-W5,Alberta,50000,1990-12-31,Indigenous Services Canada
IAMWU,William Smith Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c885b86849c20c311784e949cb1b873,59.8988889,-110.1850000,125-2-W4,Alberta,50000,1958-01-28,AB-Ministry of Culture and Status of Women
IAREG,Williams Coulee,und,Undetermined,,Coulee,Terrain Feature,VALL,0c8a0543849c20c3b5dd4c56f0e8e425,50.3530556,-113.9591667,"15,16-16-29-W4",Alberta,250000,1986-03-06,AB-Ministry of Culture and Status of Women
IAMCD,Williams Creek,und,Undetermined,,Creek,Water Feature,RIV,0c87e710849c20c3bd8eddaa35d33cc7,51.6911111,-114.9622222,29-31-7-W5,Alberta,50000,1958-12-31,AB-Ministry of Culture and Status of Women
IATCO,Williams Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cc541a1849c20c3469d635882292aaa,56.8027778,-110.0702778,16-90-7-W4,Alberta,50000,1992-02-05,AB-Ministry of Culture and Status of Women
IALFP,Williamson Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c8771f6849c20c30b370058e19dcfe6,52.7472222,-110.8877778,36-43-7-W4,Alberta,250000,1951-09-06,AB-Ministry of Culture and Status of Women
